CATEGORIA;Código SAP;DESCRIPCIÓN MATERIAL;PVC
CLIMATIZACIÓN;10007693;ASI-124A TIPO A;260,1
;10007695;ASI-124I TIPO A;404,1
;10007697;ASI-244A TIPO A;539,1
;10026115;ASI-185A TIPO A;418,5
;10026116;ASI-365A TIPO A;647,11
COCINA;30000576;COCINA IND BILBAO SPA CROMA C20 S01;193,5
;30000582;COCINA IND CADIZ SPA CROMA C20 S01;170,1
;30001103;COCINA IND CORUNA QZ CROMA C24 S01;202,5
;30000896;COCINA IND FERRARA ZFO NEGRA C24 S01;269,1
;30000788;COCINA IND GALICIA ZFO CROMA C30 S01;413,1
;30000842;COCINA IND GRANADA ZFO CROMA C24 S01;269,1
;30001105;COCINA IND MERIDA QZ CROMA C24 S01;233,11
;30001152;COCINA IND MILAN ZFO CROMA C24 S01;296,1
;30000784;COCINA IND MONACO ZFO CROMA C30 S01;566,1
;30000779;COCINA IND MONTECARLO ZFO CROMA C30 S01;661,5
;30000777;COCINA IND NIZA ZFO NEGRA C30 S01;742,5
;30001107;COCINA IND MURCIA QZ CROMA C32 S01;332,1
;30001495;COCINA IND PAMPLONA QZ CROMA C32 S01;341,1
;30000793;COCINA IND ROMA ZFO CROMA C30 S01;494,1
;30000808;COCINA IND SORRENTO ZFO NEGRA C30 S01;359,1
;30000836;COCINA IND TURIN ZFO CROMA C30 S01;409,5
;30000915;COCINA IND DUBLIN PLUS GRIS C20 S01;113,85
LÍNEA EMPOTRABLE;10012205;CAMPANA EXTRACTORA CEI-60CRP;89,1
;10008616;CAMPANA EXTRACTORA CEI-60NE;112,5
;10012207;CAMPANA EXTRACTORA CEI-90CRP;122,39
;10000030;CAMPANA EXTRACTORA CEI-90CRVI;485,1
;10000031;CAMPANA EXTRACTORA CEI-90NEVC;305,1
;10000032;CAMPANA EXTRACTORA CEI-90NMO;814,5
;10000035;CAMPANA EXTRACTORA CEI-90VDNRC;404,1
;10008618;CAMPANA EXTRACTORA CEI-90NE;152,1
;10012206;CAMPANA EXTRACTORA CEI-75CRP;103,5
;10008617;CAMPANA EXTRACTORA CEI-75NE;134,1
;30000378;ENCIME IND 60 CM QUA CROMA ENC ECU;161,1
;30000384;ENCIME IND 80 CM QUA CROMA ENC ECU;211,5
;10000394;ENCIMERA EGI-604VDNE;247,5
;10000395;ENCIMERA EGI-755VDNE;364,5
;10000399;ENCIMERA EGI-755AI;256,5
;10000398;ENCIMERA EGI-905VDNE;391,49
;10000042;ENC. INDC. IMPORT. EI-5PVI;944,1
;10027578;ENCIMERA INDUCCION EI-4PVI601;341,1
;10000044;ENCIMERA INDUCCION EI-4PVI80D;584,1
;10000343;HORNO ELECTRICO HEI-75END;404,1
;10000402;HORNO ELECTRICO HEI-75ENDF;521,1
;10000401;HORNO ELECTRICO HEI-75EN TIPO A;341,1
;10000400;HORNO A GAS HEI-75GNTIPO A;422,1
REFRIGERADORA;10000078;MINIBAR RI-150CR RENOVACION REN;179,1
